iter	Passed	Remaining
0	25	5000
1	53	5324
2	81	5339
3	109	5366
4	136	5336
5	163	5276
6	188	5208
7	217	5219
8	248	5277
9	276	5247
10	307	5289
11	335	5255
12	362	5218
13	389	5168
14	415	5128
15	439	5058
16	464	4996
17	493	4992
18	522	4978
19	547	4926
20	575	4901
21	605	4897
22	634	4885
23	665	4878
24	692	4846
25	722	4832
26	752	4822
27	779	4788
28	806	4754
29	833	4725
30	862	4704
31	889	4669
32	916	4636
33	939	4588
34	966	4556
35	991	4518
36	1021	4500
37	1050	4477
38	1076	4444
39	1106	4424
40	1134	4397
41	1162	4371
42	1192	4353
43	1219	4323
44	1244	4287
45	1270	4251
46	1295	4215
47	1319	4177
48	1347	4151
49	1375	4126
50	1401	4096
51	1432	4076
52	1459	4047
53	1486	4019
54	1515	3994
55	1541	3964
56	1569	3936
57	1598	3913
58	1624	3882
59	1652	3856
60	1677	3823
61	1702	3790
62	1730	3762
63	1758	3736
64	1786	3709
65	1815	3686
66	1845	3663
67	1875	3640
68	1902	3612
69	1929	3583
70	1956	3553
71	1980	3520
72	2005	3488
73	2028	3453
74	2060	3433
75	2089	3408
76	2119	3386
77	2147	3359
78	2176	3333
79	2205	3308
80	2234	3283
81	2262	3255
82	2288	3226
83	2314	3195
84	2339	3165
85	2368	3139
86	2397	3114
87	2429	3092
88	2460	3068
89	2488	3041
90	2515	3013
91	2543	2985
92	2568	2955
93	2598	2929
94	2623	2899
95	2649	2870
96	2676	2842
97	2702	2813
98	2731	2786
99	2759	2759
100	2787	2732
101	2819	2709
102	2850	2684
103	2879	2657
104	2908	2631
105	2936	2604
106	2963	2576
107	2992	2549
108	3020	2521
109	3047	2493
110	3076	2466
111	3106	2440
112	3137	2415
113	3169	2391
114	3199	2364
115	3231	2340
116	3259	2312
117	3285	2283
118	3310	2253
119	3337	2225
120	3364	2196
121	3390	2167
122	3416	2138
123	3447	2112
124	3478	2086
125	3507	2059
126	3540	2034
127	3570	2008
128	3599	1981
129	3629	1954
130	3654	1925
131	3682	1896
132	3708	1868
133	3737	1840
134	3767	1814
135	3797	1787
136	3827	1759
137	3856	1732
138	3885	1704
139	3913	1677
140	3940	1648
141	3968	1621
142	3998	1593
143	4028	1566
144	4057	1538
145	4082	1510
146	4112	1482
147	4143	1455
148	4172	1428
149	4198	1399
150	4225	1371
151	4253	1343
152	4279	1314
153	4304	1285
154	4331	1257
155	4361	1230
156	4389	1202
157	4417	1174
158	4447	1146
159	4477	1119
160	4506	1091
161	4533	1063
162	4560	1035
163	4585	1006
164	4614	978
165	4641	950
166	4669	922
167	4698	894
168	4725	866
169	4753	838
170	4780	810
171	4807	782
172	4835	754
173	4864	726
174	4891	698
175	4918	670
176	4946	642
177	4971	614
178	4996	586
179	5022	558
180	5047	529
181	5070	501
182	5094	473
183	5119	445
184	5145	417
185	5171	389
186	5196	361
187	5221	333
188	5246	305
189	5272	277
190	5298	249
191	5324	221
192	5350	194
193	5377	166
194	5404	138
195	5431	110
196	5457	83
197	5484	55
198	5510	27
199	5533	0
